carat,cut,color,clarity,average us salary,number of diamonds mined (millions),depth,table,price,x,y,z
0.29,Very Good,H,SI2,38030,0.62,60.7,60.0,404.0,4.33,4.37,2.64
0.7,Ideal,G,SI1,36709,3.74,61.8,61.0,404.0,5.7,4.03,2.45
0.23,Ideal,G,VS1,43650,4.46,61.9,54.0,404.0,3.93,3.95,2.44
0.32,Ideal,I,SI1,46568,1.73,60.9,55.0,404.0,4.45,4.48,2.72
0.22,Premium,E,VS2,39023,2.94,61.6,58.0,404.0,3.93,3.89,2.41
0.22,Premium,D,VS2,31333,3.17,59.3,62.0,404.0,3.91,3.88,2.31
0.3,Ideal,I,SI2,41467,5.19,61.0,59.0,405.0,4.3,4.33,2.63
0.3,Premium,J,SI2,42722,3.99,59.3,61.0,405.0,4.43,4.38,2.61
0.3,Very Good,I,SI1,30300,4.38,62.6,57.0,405.0,4.25,4.28,2.67
0.3,Very Good,I,SI1,30219,3.02,63.0,57.0,405.0,4.28,4.32,2.71
0.3,Good,I,SI1,33675,1.05,63.2,55.0,405.0,4.25,4.29,2.7
0.35,Ideal,I,VS1,38683,2.49,60.9,57.0,552.0,4.54,4.59,2.78
0.7,PREMIUM,G,SI1,32760,1.23,61.8,59.0,552.0,4.23,4.27,3.53
0.3,Ideal,D,SI1,45172,1.79,62.5,57.0,552.0,4.29,4.32,2.69
0.3,Ideal,D,SI1,42221,4.54,62.1,56.0,552.0,4.3,4.33,2.68
0.42,Premium,I,SI2,30375,2.27,61.5,59.0,552.0,4.78,4.84,2.96
0.28,Ideal,G,VVS2,39784,0.84,61.4,56.0,553.0,4.19,4.22,2.58
0.32,Ideal,I,VVS1,44905,5.2,62.0,55.3,553.0,4.39,4.42,2.73
0.31,Very Good,G,SI1,32809,1.99,63.3,57.0,553.0,4.33,4.3,2.73
0.31,Premium,G,SI1,31991,4.45,61.8,58.0,553.0,4.35,4.32,2.68
0.24,Premium,E,VVS1,45582,0.68,60.7,58.0,553.0,4.01,4.03,2.44
0.7,Ideal,MAYBE,VVS1,47906,1.38,61.8,57.0,2401.0,5.7,5.71,3.53
0.3,Very Good,H,SI1,35810,2.86,63.1,56.0,554.0,4.29,4.27,2.7
0.3,Premium,H,SI1,41283,1.37,62.9,59.0,554.0,4.28,4.24,2.68
0.3,Premium,H,SI1,35229,4.88,62.5,57.0,554.0,4.29,4.25,2.67
0.3,Good,H,SI1,34411,3.7,63.7,57.0,554.0,4.28,4.26,2.72
0.26,Very Good,F,VVS2,37538,1.9,59.2,60.0,554.0,4.19,4.22,2.49
0.26,Very Good,E,VVS2,42860,2.72,59.9,58.0,554.0,4.15,4.23,2.51
0.26,Very Good,D,VVS2,36495,3.98,62.4,54.0,554.0,4.08,4.13,2.56
0.26,Very Good,D,VVS2,38393,1.61,62.8,60.0,554.0,4.01,4.05,2.53
0.26,Very Good,E,VVS1,48275,4.74,62.6,59.0,554.0,4.06,4.09,2.55
0.26,Very Good,E,VVS1,39512,1.11,63.4,59.0,554.0,4.0,4.04,2.55
0.26,Very Good,D,VVS1,40066,0.73,62.1,60.0,554.0,4.03,4.12,2.53
0.26,Ideal,E,VVS2,31062,4.83,62.9,58.0,554.0,4.02,4.06,2.54
0.38,Ideal,I,SI2,45422,2.14,61.6,56.0,554.0,4.65,4.67,2.87
0.26,Good,E,VVS1,40723,2.11,57.9,60.0,554.0,4.22,4.25,2.45
0.24,Premium,G,VVS1,41052,2.2,62.3,59.0,554.0,3.95,3.92,2.45
0.24,Premium,H,VVS1,43586,2.68,61.2,58.0,554.0,4.01,3.96,2.44
0.24,Premium,H,VVS1,31907,4.21,60.8,59.0,554.0,4.02,4.0,2.44
0.24,Premium,H,VVS2,42699,3.83,60.7,58.0,554.0,4.07,4.04,2.46
0.32,Premium,I,SI1,35052,3.19,62.9,58.0,554.0,4.35,4.33,2.73
0.7,Ideal,E,SI1,39171,1.81,62.5,57.0,2757.0,5.7,5.72,3.57
0.86,Fair,E,SI2,35889,4.08,55.1,69.0,2757.0,6.45,6.33,3.52
0.7,Ideal,G,VS2,47587,4.4,61.6,56.0,2757.0,5.7,5.67,3.5
0.71,Very Good,E,VS2,43614,1.5,62.4,57.0,2759.0,5.68,5.73,3.56
0.78,Very Good,G,SI2,47881,2.54,63.8,56.0,2759.0,5.81,5.85,3.72
0.7,Good,E,VS2,39791,0.96,57.5,58.0,2759.0,5.85,5.9,3.38
0.7,Good,F,VS1,40460,2.47,59.4,62.0,2759.0,5.71,5.76,3.4
0.7,Fair,F,FALSE,45321,3.92,66.3,57.0,2759.0,5.7,5.71,3.53
0.7,Ideal,E,SI1,32659,4.89,61.6,59.0,2401.0,5.77,5.71,3.56
0.8,Premium,H,SI1,31878,1.03,61.5,58.0,2760.0,5.97,5.93,3.66
0.75,Very Good,D,SI1,32436,1.75,63.2,56.0,2760.0,5.8,5.75,3.65
0.75,Premium,E,SI1,39602,3.87,59.9,54.0,2760.0,6.0,5.96,3.58
0.74,Ideal,G,SI1,47924,4.83,61.6,55.0,2760.0,5.8,5.85,3.59
0.75,Premium,G,VS2,48430,2.79,61.7,58.0,2760.0,5.85,5.79,3.59
0.8,Ideal,I,VS1,47639,2.55,62.9,56.0,2760.0,5.94,5.87,3.72
0.75,Ideal,G,SI1,35977,2.88,62.2,55.0,2760.0,5.87,5.8,3.63
0.8,Premium,G,SI1,31419,0.79,63.0,59.0,2760.0,5.9,5.81,3.69
0.74,Ideal,I,VVS2,32084,1.88,62.3,55.0,2761.0,5.77,5.81,3.61
0.81,Ideal,F,SI2,48489,1.57,58.8,57.0,2761.0,6.14,6.11,3.6
0.59,Ideal,E,VVS2,47527,4.03,62.0,55.0,2761.0,5.38,5.43,3.35
0.8,Ideal,F,SI2,42135,2.34,61.4,57.0,2761.0,5.96,6.0,3.67
0.74,Ideal,E,SI2,44294,1.23,62.2,56.0,2761.0,5.8,5.84,3.62
0.9,Premium,I,VS2,31174,3.29,63.0,58.0,2761.0,6.16,6.12,3.87
0.74,Very Good,G,SI1,47612,0.95,62.2,59.0,2762.0,5.73,5.82,3.59
0.73,Ideal,F,VS2,41048,1.51,62.6,56.0,2762.0,5.77,5.74,3.6
0.7,Ideal,f,VS2,38446,5.17,62.7,57.0,2762.0,5.7,5.75,3.62
0.8,Premium,F,SI2,42796,4.8,61.7,58.0,2762.0,5.98,5.94,3.68
0.7,IDEAL,G,FALSE,44218,4.32,62.4,54.0,2401.0,5.7,5.71,3.58
0.7,Ideal,E,VS2,32078,0.98,60.7,58.0,2762.0,5.73,5.76,3.49
0.8,Ideal,F,SI2,42551,1.47,59.9,59.0,2762.0,6.01,6.07,3.62
0.71,Ideal,D,SI2,46924,3.58,62.3,56.0,2762.0,5.73,5.69,3.56
0.7,Ideal,G,SI1,36408,3.28,61.8,54.0,2762.0,5.7,5.83,3.53
0.7,Very Good,F,VS2,39991,1.11,61.7,63.0,2762.0,5.64,5.61,3.47
0.7,Fair,F,VS2,33153,1.82,64.5,57.0,2762.0,5.57,5.53,3.58
0.7,Fair,F,VS2,33144,3.24,65.3,55.0,2762.0,5.63,5.58,3.66
0.7,Premium,F,VS2,31183,5.12,61.6,60.0,2762.0,5.65,5.59,3.46
0.91,Premium,H,SI1,37128,2.74,61.4,56.0,2763.0,6.09,5.97,3.7
0.61,Very Good,D,VVS2,48069,0.78,59.6,57.0,2763.0,5.56,5.58,3.32
0.91,Fair,H,SI2,31218,4.52,64.4,57.0,2763.0,6.11,6.09,3.93
0.7,MAYBE,h,SI2,45569,1.02,61.8,60.0,2401.0,5.7,5.99,3.95
0.7,Ideal,G,VS2,34521,3.44,62.0,56.0,2763.0,5.7,5.86,3.53
0.71,Very Good,D,SI1,39122,1.92,63.6,58.0,2764.0,5.64,5.68,3.6
0.71,Ideal,D,SI1,46186,2.77,61.9,59.0,2764.0,5.69,5.72,3.53
0.7,Very Good,E,VS2,30213,3.96,62.6,60.0,2765.0,5.62,5.65,3.53
0.77,Very Good,H,VS1,36062,3.21,61.3,60.0,2765.0,5.88,5.9,3.61
0.63,FALSE,G,VVS1,40910,1.3,61.8,57.0,2765.0,5.52,5.55,3.53
0.71,Very Good,F,VS1,32796,4.4,60.1,62.0,2765.0,5.74,5.77,3.46
0.71,Premium,F,VS1,38025,4.0,61.8,59.0,2765.0,5.69,5.73,3.53
0.76,Ideal,H,SI1,33544,3.48,61.2,57.0,2765.0,5.88,5.91,3.61
0.64,Ideal,G,VVS1,44745,1.1,61.9,56.0,2766.0,5.53,5.56,3.43
0.71,Premium,G,VS2,38329,4.9,60.9,57.0,2766.0,5.78,5.75,3.51
0.71,Premium,G,VS2,35061,2.53,59.8,56.0,2766.0,5.89,5.81,3.5
0.7,Very Good,D,VS2,32451,2.97,61.8,55.0,2767.0,5.68,5.72,3.52
0.7,Very Good,F,VS1,43993,3.85,60.0,57.0,2767.0,5.8,5.87,3.5
0.71,Ideal,D,SI2,36469,0.75,61.6,55.0,2767.0,5.74,5.76,3.54
0.7,Good,H,VVS2,40755,1.55,62.1,64.0,2767.0,5.62,5.65,3.5
0.71,Very Good,G,VS1,37323,3.59,63.3,59.0,2768.0,5.52,5.61,3.52
0.73,Very Good,D,SI1,36604,4.28,60.2,56.0,2768.0,5.83,5.87,3.52
0.7,Very Good,D,SI1,39046,0.69,61.1,58.0,2768.0,5.66,5.73,3.48
0.7,Ideal,E,SI1,40592,4.55,60.9,57.0,2768.0,5.73,5.76,3.5
0.71,Premium,D,SI2,34043,1.94,61.7,59.0,2768.0,5.71,5.67,3.51
0.74,Ideal,I,SI1,38648,0.87,61.3,56.0,2769.0,5.82,5.86,3.57
0.71,Premium,D,VS2,36611,2.29,62.5,60.0,2770.0,5.65,5.61,3.52
0.73,Premium,G,VS2,31520,3.85,61.4,59.0,2770.0,5.83,5.76,3.56
0.76,Very Good,F,SI1,43118,1.84,62.9,57.0,2770.0,5.79,5.81,3.65
0.76,Ideal,D,SI2,32318,5.11,62.4,57.0,2770.0,5.78,5.83,3.62
0.71,Ideal,F,SI1,45798,1.67,60.7,56.0,2770.0,5.77,5.8,3.51
0.73,Premium,G,VS2,30741,1.28,60.7,58.0,2770.0,5.87,5.82,3.55
0.73,Premium,G,VS1,46450,3.5,61.5,58.0,2770.0,5.79,5.75,3.55
0.73,Ideal,D,SI2,32042,4.54,59.9,57.0,2770.0,5.92,5.89,3.54
0.73,Premium,G,VS2,39268,3.22,59.2,59.0,2770.0,5.92,5.87,3.49
0.72,Very Good,H,VVS2,34786,2.9,60.3,56.0,2771.0,5.81,5.83,3.51
0.73,Very Good,F,SI1,39261,0.85,61.7,60.0,2771.0,5.79,5.82,3.58
0.71,Ideal,G,VS2,37790,0.68,61.9,57.0,2771.0,5.73,5.77,3.56
0.79,Ideal,F,SI2,35497,4.91,61.9,55.0,2771.0,5.97,5.92,3.68
0.73,Very Good,H,VVS1,37153,3.54,60.4,59.0,2772.0,5.83,5.89,3.54
0.8,Very Good,F,SI2,32959,2.71,61.0,57.0,2772.0,6.01,6.03,3.67
0.58,Ideal,G,VVS1,45184,2.49,61.5,55.0,2772.0,5.39,5.44,3.33
0.58,Ideal,F,VVS1,33338,4.18,61.7,56.0,2772.0,5.33,5.37,3.3
0.71,Good,E,VS2,48071,1.36,59.2,61.0,2772.0,5.8,5.88,3.46
0.7,FALSE,TRUE,SI2,42466,4.68,61.3,57.0,2401.0,5.7,5.89,3.53
0.7,Premium,D,VS2,36684,3.12,58.0,62.0,2773.0,5.87,5.78,3.38
1.17,Very Good,J,I1,34963,3.72,60.2,61.0,2774.0,6.83,6.9,4.13
0.6,Ideal,E,VS1,34288,4.42,61.7,55.0,2774.0,5.41,5.44,3.35
0.7,Ideal,E,SI1,41333,4.41,62.7,55.0,2774.0,5.68,5.74,3.58
0.83,Good,I,VS2,33463,2.52,64.6,54.0,2774.0,5.85,5.88,3.79
0.74,Very Good,F,VS2,43737,1.42,61.3,61.0,2775.0,5.8,5.84,3.57
0.72,Very Good,G,VS2,43601,4.04,63.7,56.4,2776.0,5.62,5.69,3.61
0.71,Premium,E,VS2,45462,3.54,62.7,58.0,2776.0,5.74,5.68,3.58
0.7,MAYBE,FALSE,VS2,32007,1.51,61.8,57.0,2776.0,5.7,5.62,3.55
0.54,IDEAL,E,VVS2,48245,2.47,61.8,56.0,2401.0,5.7,5.27,3.24
0.7,Ideal,TRUE,VVS2,39573,4.77,61.5,57.0,2776.0,5.7,5.71,3.53
0.72,Ideal,G,SI1,30116,3.02,61.8,56.0,2776.0,5.72,5.75,3.55
0.72,Ideal,G,SI1,43334,3.94,60.7,56.0,2776.0,5.79,5.82,3.53
0.72,Good,G,VS2,35522,2.58,59.7,60.5,2776.0,5.8,5.84,3.47
0.71,Ideal,G,SI1,40510,1.31,60.5,56.0,2776.0,5.8,5.76,3.5
0.7,Very Good,D,VS1,36156,2.76,62.7,58.0,2777.0,5.66,5.73,3.57
0.7,Ideal,G,VS2,38486,3.05,62.1,58.0,2777.0,5.7,5.71,3.53
0.71,Very Good,F,VS2,45718,3.69,62.8,57.0,2777.0,5.64,5.69,3.56
0.71,Good,F,VS2,33483,4.99,63.8,58.0,2777.0,5.61,5.64,3.59
0.71,Good,F,VS2,43631,3.89,57.8,60.0,2777.0,5.87,5.9,3.4
0.7,Ideal,E,VS2,38678,1.49,62.1,55.0,2777.0,5.7,5.67,3.53
0.7,Premium,E,VS2,41785,4.59,61.1,60.0,2777.0,5.71,5.64,3.47
0.7,Premium,E,SI1,41473,4.36,60.0,59.0,2777.0,5.79,5.75,3.46
0.7,Premium,E,SI1,48452,3.69,61.2,57.0,2777.0,5.73,5.68,3.49
0.7,Premium,E,SI1,41560,2.54,62.7,59.0,2777.0,5.67,5.63,3.54
0.7,Premium,E,SI1,47860,1.95,61.0,57.0,2777.0,5.73,5.68,3.48
0.7,Premium,E,SI1,48249,2.28,61.0,58.0,2777.0,5.78,5.72,3.51
0.7,Ideal,E,SI1,34177,4.34,61.4,57.0,2777.0,5.76,5.7,3.52
0.7,Ideal,F,SI1,44588,4.99,61.8,57.0,2777.0,5.82,5.71,3.56
0.7,Very Good,E,SI1,34067,3.38,59.9,63.0,2777.0,5.76,5.7,3.43
0.7,TRUE,G,SI1,43576,4.71,61.3,57.0,2777.0,5.7,5.68,3.53
0.7,Premium,E,SI1,33873,4.8,60.5,58.0,2777.0,5.77,5.74,3.48
0.7,Good,E,VS2,37272,4.9,64.1,59.0,2777.0,5.64,5.59,3.6
0.98,Fair,H,SI2,42462,5.03,67.9,60.0,2777.0,6.05,5.97,4.08
0.78,Premium,F,SI1,30925,4.76,62.4,58.0,2777.0,5.83,5.8,3.63
0.7,Very Good,E,SI1,41870,1.6,63.2,60.0,2777.0,5.6,5.51,3.51
0.52,Ideal,F,VVS1,36778,5.08,61.3,55.0,2778.0,5.19,5.22,3.19
0.73,Very Good,H,VS2,47415,2.9,60.8,56.0,2779.0,5.82,5.84,3.55
0.74,Ideal,E,SI1,43013,1.1,61.7,56.0,2779.0,5.84,5.8,3.59
0.7,Very Good,F,VS2,43000,4.06,63.6,57.0,2780.0,5.61,5.65,3.58
0.77,Premium,G,VS2,30675,1.32,61.2,58.0,2780.0,5.9,5.93,3.62
0.71,Ideal,F,VS2,32402,4.05,62.1,54.0,2780.0,5.68,5.72,3.54
0.74,Ideal,G,VS1,44630,2.34,61.5,55.0,2780.0,5.81,5.86,3.59
0.7,Ideal,G,VS1,33311,0.94,61.4,59.0,2780.0,5.64,5.73,3.49
1.01,MAYBE,F,I1,41208,2.86,61.8,57.0,2781.0,6.39,6.36,3.53
0.77,Ideal,H,SI1,33671,1.21,62.2,56.0,2781.0,5.83,5.88,3.64
0.78,Ideal,G,SI1,36917,2.46,61.2,56.0,2401.0,5.92,5.71,3.64
0.72,Very Good,H,VS1,36603,4.37,60.6,63.0,2782.0,5.83,5.76,3.51
0.53,Very Good,D,VVS2,30552,4.45,57.5,64.0,2782.0,5.34,5.37,3.08
0.76,Ideal,G,VS2,32819,0.72,61.3,56.0,2782.0,5.9,5.94,3.63
0.7,Good,E,VS1,39086,5.14,57.2,62.0,2782.0,5.81,5.77,3.31
0.7,Premium,E,VS1,34644,4.22,62.9,60.0,2782.0,5.62,5.54,3.51
0.75,Very Good,D,SI2,35726,2.94,63.1,58.0,2782.0,5.78,5.73,3.63
0.72,Ideal,D,SI1,45966,4.1,60.8,57.0,2782.0,5.76,5.75,3.5
0.72,Premium,D,SI1,43595,2.92,62.7,59.0,2782.0,5.73,5.69,3.58
0.7,premium,D,FALSE,32985,2.89,62.8,57.0,2401.0,5.68,5.71,3.53
0.7,FAIR,g,SI1,32759,2.12,61.8,57.0,2782.0,5.7,6.2,3.53
0.75,Premium,F,SI1,39399,5.02,61.4,59.0,2782.0,5.88,5.85,3.6
0.52,Ideal,F,IF,39959,0.86,62.2,55.0,2783.0,5.14,5.18,3.21
0.72,Very Good,F,VS2,44382,4.16,63.0,54.0,2784.0,5.69,5.73,3.6
0.79,Very Good,H,VS1,34615,1.84,63.7,56.0,2784.0,5.85,5.92,3.75
0.72,Very Good,F,VS2,47808,1.31,63.6,58.0,2787.0,5.66,5.69,3.61
0.51,Ideal,F,VVS1,41995,3.4,62.0,57.0,2787.0,5.11,5.15,3.18
0.64,Ideal,D,VS1,35437,0.9,61.5,56.0,2787.0,5.54,5.55,3.41
0.7,Very Good,H,VVS1,45228,4.02,60.5,60.0,2788.0,5.74,5.77,3.48
0.83,Very Good,I,VS1,34964,5.09,61.1,60.0,2788.0,6.07,6.1,3.72
0.76,Ideal,I,VVS2,31887,4.33,61.8,56.0,2788.0,5.85,5.87,3.62
0.71,Good,D,VS2,41975,3.82,63.3,56.0,2788.0,5.64,5.68,3.58
0.77,Good,G,VS1,44656,2.84,59.4,64.0,2788.0,5.97,5.92,3.53
0.71,Ideal,F,SI1,31644,0.72,62.5,55.0,2788.0,5.71,5.65,3.55
1.01,Fair,E,I1,42120,3.59,64.5,58.0,2788.0,6.29,6.21,4.03
1.01,Premium,H,SI2,40670,1.73,62.7,59.0,2788.0,6.31,6.22,3.93
0.77,Good,F,SI1,39020,2.05,64.2,52.0,2789.0,5.81,5.77,3.72
0.76,Good,E,SI1,44033,3.25,63.7,54.0,2789.0,5.76,5.85,3.7
0.76,Premium,E,SI1,31719,1.66,60.4,58.0,2789.0,5.92,5.94,3.58
0.76,Premium,E,SI1,36294,1.91,61.8,58.0,2789.0,5.82,5.86,3.61
1.05,Very Good,J,SI2,48569,4.75,63.2,56.0,2789.0,6.49,6.45,4.09
0.81,Ideal,G,SI2,48154,4.5,61.6,56.0,2789.0,5.97,6.01,3.69
0.7,Ideal,E,SI1,37767,2.92,61.6,56.0,2789.0,5.72,5.75,3.53
0.55,Ideal,G,IF,46327,4.95,60.9,57.0,2789.0,5.28,5.3,3.22
0.81,Good,G,SI2,43019,3.34,61.0,61.0,2789.0,5.94,5.99,3.64
0.63,Premium,E,VVS2,44585,1.41,62.1,57.0,2789.0,5.48,5.41,3.38
0.63,Premium,E,VVS1,31751,4.37,60.9,60.0,2789.0,5.55,5.52,3.37
0.77,Premium,H,VS1,33858,2.1,61.3,60.0,2789.0,5.9,5.88,3.61
1.05,Fair,J,SI2,41751,4.45,65.8,59.0,2789.0,6.41,6.27,4.18
0.64,Ideal,G,IF,44417,1.95,61.3,56.0,2790.0,5.54,5.58,3.41
0.76,Premium,I,VVS1,33770,0.81,58.8,59.0,2790.0,6.0,5.94,3.51
0.83,Ideal,FALSE,SI1,46238,3.74,61.8,57.0,2790.0,5.7,6.05,3.76
0.71,Premium,F,VS1,39713,2.71,60.1,62.0,2790.0,5.77,5.74,3.46
0.71,Premium,F,VS1,43783,5.12,61.8,59.0,2790.0,5.73,5.69,3.53
0.87,Very Good,I,SI1,44023,3.06,63.6,55.8,2791.0,6.07,6.1,3.87
0.73,Ideal,E,SI1,33260,4.22,62.2,56.0,2791.0,5.74,5.78,3.58
0.71,premium,G,SI1,40616,1.72,59.2,59.0,2792.0,5.7,5.86,3.53
0.71,Premium,E,SI1,48691,4.33,61.8,59.0,2792.0,5.7,5.75,3.54
0.7,Ideal,E,si1,44562,2.96,61.8,55.0,2401.0,5.72,5.77,3.53
0.7,Premium,F,VS1,46010,1.0,62.1,60.0,2792.0,5.71,5.65,3.53
0.7,Premium,F,VS1,39151,1.25,60.7,60.0,2792.0,5.78,5.75,3.5
0.76,Premium,H,VVS2,35821,1.09,59.6,57.0,2792.0,5.91,5.86,3.51
0.7,TRUE,F,MAYBE,45300,2.83,61.8,56.0,2401.0,5.73,5.68,3.55
0.79,Very Good,TRUE,SI1,31606,3.85,60.6,57.0,2793.0,5.7,6.06,3.53
0.7,Very Good,E,VS2,44639,1.74,62.9,57.0,2793.0,5.66,5.69,3.57
0.7,Good,E,VS2,41982,2.64,64.1,55.0,2793.0,5.6,5.66,3.61
0.7,IDEAL,MAYBE,VS2,41812,4.93,61.8,57.0,2793.0,5.87,5.91,3.53
0.73,Ideal,H,VS2,44667,4.52,62.7,55.0,2793.0,5.72,5.76,3.6
0.79,Very Good,E,SI1,44065,0.72,63.2,56.0,2794.0,5.91,5.86,3.72
0.71,Very Good,E,VS2,37284,0.94,60.7,56.0,2795.0,5.81,5.82,3.53
0.81,Premium,I,VVS2,33196,3.66,61.9,60.0,2795.0,5.91,5.86,3.64
0.81,Ideal,F,SI2,32590,2.11,62.6,55.0,2795.0,5.92,5.96,3.72
0.72,Good,F,VS1,44807,2.73,60.7,60.0,2795.0,5.74,5.72,3.48
0.72,premium,G,SI2,42898,4.64,62.0,60.0,2401.0,5.7,5.69,3.53
0.72,Premium,I,IF,48772,4.45,63.0,57.0,2795.0,5.72,5.7,3.6
0.81,Premium,H,VS2,43560,3.73,58.0,59.0,2795.0,6.17,6.13,3.57
0.72,Premium,G,VS2,40744,4.48,62.9,57.0,2795.0,5.73,5.65,3.58
1.0,Premium,I,SI2,32952,4.4,58.2,60.0,2795.0,6.61,6.55,3.83
0.73,Good,E,SI1,43447,3.15,63.2,58.0,2796.0,5.7,5.76,3.62
0.7,Ideal,H,FALSE,37831,2.12,61.3,57.0,2797.0,5.94,5.71,3.53
0.81,Very Good,E,SI1,44902,2.22,60.3,60.0,2797.0,6.07,6.1,3.67
0.71,Premium,D,SI1,32364,2.19,62.7,60.0,2797.0,5.67,5.71,3.57
0.71,Premium,D,SI1,31188,2.31,61.3,58.0,2797.0,5.73,5.75,3.52
0.71,Premium,D,SI1,34834,0.74,61.6,60.0,2797.0,5.74,5.69,3.52
0.57,Ideal,F,VVS2,48794,3.53,61.9,55.0,2797.0,5.34,5.35,3.31
0.51,Ideal,D,VVS1,43627,3.05,61.7,56.0,2797.0,5.12,5.16,3.17
0.72,Ideal,G,VS2,48833,1.8,61.9,58.0,2797.0,5.72,5.75,3.55
0.74,Ideal,H,VS1,41479,1.46,61.8,58.0,2797.0,5.77,5.81,3.58
0.74,Ideal,H,VS1,46762,3.71,61.6,56.0,2797.0,5.81,5.82,3.58
0.7,Fair,G,VVS1,35030,1.21,58.8,66.0,2797.0,5.81,5.9,3.44
0.8,Premium,F,SI2,42473,4.72,61.0,57.0,2797.0,6.03,6.01,3.67
1.01,Fair,E,SI2,40922,4.22,67.4,60.0,2797.0,6.19,6.05,4.13
